file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,16,css,8c81619a,dsalcido-ucsd,2025-10-10,19:19:38,-07:00,2025-10-10T19:19:38-07:00,0,0
style.css,17,css,8c81619a,dsalcido-ucsd,2025-10-10,19:19:38,-07:00,2025-10-10T19:19:38-07:00,0,0
style.css,18,css,7f79247c,dsalcido-ucsd,2025-10-16,16:53:16,-07:00,2025-10-16T16:53:16-07:00,0,41
style.css,19,css,602eecc9,dsalcido-ucsd,2025-10-16,15:51:26,-07:00,2025-10-16T15:51:26-07:00,0,32
style.css,20,css,602eecc9,dsalcido-ucsd,2025-10-16,15:51:26,-07:00,2025-10-16T15:51:26-07:00,0,0
style.css,21,css,8c81619a,dsalcido-ucsd,2025-10-10,19:19:38,-07:00,2025-10-10T19:19:38-07:00,0,5
style.css,22,css,8c81619a,dsalcido-ucsd,2025-10-10,19:19:38,-07:00,2025-10-10T19:19:38-07:00,0,7
style.css,23,css,8c81619a,dsalcido-ucsd,2025-10-10,19:19:38,-07:00,2025-10-10T19:19:38-07:00,0,5
style.css,24,css,8c81619a,dsalcido-ucsd,2025-10-10,19:19:38,-07:00,2025-10-10T19:19:38-07:00,0,11
style.css,25,css,8c81619a,dsalcido-ucsd,2025-10-10,19:19:38,-07:00,2025-10-10T19:19:38-07:00,1,16
style.css,26,css,8c81619a,dsalcido-ucsd,2025-10-10,19:19:38,-07:00,2025-10-10T19:19:38-07:00,0,0
style.css,27,css,8c81619a,dsalcido-ucsd,2025-10-10,19:19:38,-07:00,2025-10-10T19:19:38-07:00,0,0
style.css,28,css,8c81619a,dsalcido-ucsd,2025-10-10,19:19:38,-07:00,2025-10-10T19:19:38-07:00,0,3
style.css,29,css,8c81619a,dsalcido-ucsd,2025-10-10,19:19:38,-07:00,2025-10-10T19:19:38-07:00,1,12
style.css,30,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,1,10
style.css,31,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,1,18
style.css,32,css,602eecc9,dsalcido-ucsd,2025-10-16,15:51:26,-07:00,2025-10-16T15:51:26-07:00,1,29
style.css,33,css,602eecc9,dsalcido-ucsd,2025-10-16,15:51:26,-07:00,2025-10-16T15:51:26-07:00,1,41
style.css,34,css,8c81619a,dsalcido-ucsd,2025-10-10,19:19:38,-07:00,2025-10-10T19:19:38-07:00,0,0
style.css,35,css,8c81619a,dsalcido-ucsd,2025-10-10,19:19:38,-07:00,2025-10-10T19:19:38-07:00,0,0
style.css,36,css,8c81619a,dsalcido-ucsd,2025-10-10,19:19:38,-07:00,2025-10-10T19:19:38-07:00,0,5
style.css,37,css,8c81619a,dsalcido-ucsd,2025-10-10,19:19:38,-07:00,2025-10-10T19:19:38-07:00,1,10
style.css,38,css,8c81619a,dsalcido-ucsd,2025-10-10,19:19:38,-07:00,2025-10-10T19:19:38-07:00,1,17
style.css,39,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,1,25
style.css,40,css,8c81619a,dsalcido-ucsd,2025-10-10,19:19:38,-07:00,2025-10-10T19:19:38-07:00,1,41
style.css,41,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,1,13
style.css,42,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,1,20
style.css,43,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,1,20
style.css,44,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,0,0
style.css,45,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,0,0
style.css,46,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,0,105
style.css,47,css,602eecc9,dsalcido-ucsd,2025-10-16,15:51:26,-07:00,2025-10-16T15:51:26-07:00,0,157
style.css,48,css,602eecc9,dsalcido-ucsd,2025-10-16,15:51:26,-07:00,2025-10-16T15:51:26-07:00,0,0
style.css,49,css,602eecc9,dsalcido-ucsd,2025-10-16,15:51:26,-07:00,2025-10-16T15:51:26-07:00,0,13
style.css,50,css,602eecc9,dsalcido-ucsd,2025-10-16,15:51:26,-07:00,2025-10-16T15:51:26-07:00,1,14
style.css,51,css,602eecc9,dsalcido-ucsd,2025-10-16,15:51:26,-07:00,2025-10-16T15:51:26-07:00,1,8
style.css,52,css,602eecc9,dsalcido-ucsd,2025-10-16,15:51:26,-07:00,2025-10-16T15:51:26-07:00,1,10
style.css,53,css,602eecc9,dsalcido-ucsd,2025-10-16,15:51:26,-07:00,2025-10-16T15:51:26-07:00,1,13
style.css,54,css,602eecc9,dsalcido-ucsd,2025-10-16,15:51:26,-07:00,2025-10-16T15:51:26-07:00,1,19
style.css,55,css,602eecc9,dsalcido-ucsd,2025-10-16,15:51:26,-07:00,2025-10-16T15:51:26-07:00,1,12
style.css,56,css,39f0302e,dsalcido-ucsd,2025-10-16,15:58:24,-07:00,2025-10-16T15:58:24-07:00,1,22
style.css,57,css,39f0302e,dsalcido-ucsd,2025-10-16,15:58:24,-07:00,2025-10-16T15:58:24-07:00,1,17
style.css,58,css,39f0302e,dsalcido-ucsd,2025-10-16,15:58:24,-07:00,2025-10-16T15:58:24-07:00,1,41
style.css,59,css,259f970f,dsalcido-ucsd,2025-10-16,17:15:05,-07:00,2025-10-16T17:15:05-07:00,1,15
style.css,60,css,39f0302e,dsalcido-ucsd,2025-10-16,15:58:24,-07:00,2025-10-16T15:58:24-07:00,1,16
style.css,61,css,39f0302e,dsalcido-ucsd,2025-10-16,15:58:24,-07:00,2025-10-16T15:58:24-07:00,1,33
style.css,62,css,602eecc9,dsalcido-ucsd,2025-10-16,15:51:26,-07:00,2025-10-16T15:51:26-07:00,0,0
style.css,63,css,602eecc9,dsalcido-ucsd,2025-10-16,15:51:26,-07:00,2025-10-16T15:51:26-07:00,0,37
style.css,64,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,0,0
style.css,65,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,0,48
style.css,66,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,0,0
style.css,67,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,0,85
style.css,68,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,0,111
style.css,69,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,0,184
style.css,70,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,0,64
style.css,71,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,0,0
style.css,72,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,0,118
style.css,73,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,0,77
style.css,74,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,0,0
style.css,75,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,0,17
style.css,76,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,1,12
style.css,77,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,1,32
style.css,78,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,1,15
style.css,79,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,1,7
style.css,80,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,1,16
style.css,81,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,1,17
style.css,82,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,1,15
style.css,83,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,1,44
style.css,84,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,1,54
style.css,85,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,1,15
style.css,86,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,0,0
style.css,87,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,0,33
style.css,88,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,0,42
style.css,89,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,0,92
style.css,90,css,386d8cb7,dsalcido-ucsd,2025-10-10,19:23:40,-07:00,2025-10-10T19:23:40-07:00,0,0
style.css,91,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,0,102
style.css,92,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,0,0
style.css,93,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,0,25
style.css,94,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,1,86
style.css,95,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,1,39
style.css,96,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,0,0
style.css,97,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,0,0
style.css,98,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,0,66
style.css,99,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,0,34
style.css,100,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,1,12
style.css,101,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,1,21
style.css,102,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,1,11
style.css,103,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,0,0
style.css,104,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,0,0
style.css,105,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,0,31
style.css,106,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,1,8
style.css,107,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,0,0
style.css,108,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,0,0
style.css,109,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,0,31
style.css,110,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,1,17
style.css,111,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,1,61
style.css,112,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,0,0
style.css,113,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,0,0
style.css,114,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,0,35
style.css,115,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,1,49
style.css,116,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,0,0
style.css,117,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,0,0
style.css,118,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,0,73
style.css,119,css,c4d2e34c,dsalcido-ucsd,2025-10-31,15:23:19,-07:00,2025-10-31T15:23:19-07:00,0,0
style.css,120,css,0e76e4ba,dsalcido-ucsd,2025-10-31,15:38:53,-07:00,2025-10-31T15:38:53-07:00,0,39
style.css,121,css,0e76e4ba,dsalcido-ucsd,2025-10-31,15:38:53,-07:00,2025-10-31T15:38:53-07:00,0,18
style.css,122,css,0e76e4ba,dsalcido-ucsd,2025-10-31,15:38:53,-07:00,2025-10-31T15:38:53-07:00,1,14
style.css,123,css,0e76e4ba,dsalcido-ucsd,2025-10-31,15:38:53,-07:00,2025-10-31T15:38:53-07:00,1,16
style.css,124,css,0e76e4ba,dsalcido-ucsd,2025-10-31,15:38:53,-07:00,2025-10-31T15:38:53-07:00,1,16
style.css,125,css,0e76e4ba,dsalcido-ucsd,2025-10-31,15:38:53,-07:00,2025-10-31T15:38:53-07:00,0,0
style.css,126,css,0e76e4ba,dsalcido-ucsd,2025-10-31,15:38:53,-07:00,2025-10-31T15:38:53-07:00,0,0
style.css,127,css,b6b47559,dsalcido-ucsd,2025-10-31,16:02:24,-07:00,2025-10-31T16:02:24-07:00,0,23
style.css,128,css,b6b47559,dsalcido-ucsd,2025-10-31,16:02:24,-07:00,2025-10-31T16:02:24-07:00,1,16
style.css,129,css,b6b47559,dsalcido-ucsd,2025-10-31,16:02:24,-07:00,2025-10-31T16:02:24-07:00,1,14
style.css,130,css,b6b47559,dsalcido-ucsd,2025-10-31,16:02:24,-07:00,2025-10-31T16:02:24-07:00,0,0
style.css,131,css,b6b47559,dsalcido-ucsd,2025-10-31,16:02:24,-07:00,2025-10-31T16:02:24-07:00,0,0
style.css,132,css,b6b47559,dsalcido-ucsd,2025-10-31,16:02:24,-07:00,2025-10-31T16:02:24-07:00,0,51
style.css,133,css,b6b47559,dsalcido-ucsd,2025-10-31,16:02:24,-07:00,2025-10-31T16:02:24-07:00,1,11
style.css,134,css,b6b47559,dsalcido-ucsd,2025-10-31,16:02:24,-07:00,2025-10-31T16:02:24-07:00,0,0
style.css,135,css,b6b47559,dsalcido-ucsd,2025-10-31,16:02:24,-07:00,2025-10-31T16:02:24-07:00,0,0
style.css,136,css,b6b47559,dsalcido-ucsd,2025-10-31,16:02:24,-07:00,2025-10-31T16:02:24-07:00,0,9
style.css,137,css,b6b47559,dsalcido-ucsd,2025-10-31,16:02:24,-07:00,2025-10-31T16:02:24-07:00,1,35
style.css,138,css,b6b47559,dsalcido-ucsd,2025-10-31,16:02:24,-07:00,2025-10-31T16:02:24-07:00,0,0
style.css,139,css,b6b47559,dsalcido-ucsd,2025-10-31,16:02:24,-07:00,2025-10-31T16:02:24-07:00,0,0
style.css,140,css,b6b47559,dsalcido-ucsd,2025-10-31,16:02:24,-07:00,2025-10-31T16:02:24-07:00,0,18
style.css,141,css,b6b47559,dsalcido-ucsd,2025-10-31,16:02:24,-07:00,2025-10-31T16:02:24-07:00,1,17
style.css,142,css,b6b47559,dsalcido-ucsd,2025-10-31,16:02:24,-07:00,2025-10-31T16:02:24-07:00,0,0
style.css,143,css,b6b47559,dsalcido-ucsd,2025-10-31,16:02:24,-07:00,2025-10-31T16:02:24-07:00,0,0
style.css,144,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,0,51
style.css,145,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,0,10
style.css,146,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,12
style.css,147,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,18
style.css,148,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,7
style.css,149,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,12
style.css,150,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,0,0
style.css,151,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,0,0
style.css,152,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,0,18
style.css,153,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,0,7
style.css,154,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,12
style.css,155,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,57
style.css,156,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,7
style.css,157,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,15
style.css,158,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,11
style.css,159,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,8
style.css,160,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,21
style.css,161,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,19
style.css,162,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,6
style.css,163,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,0,0
style.css,164,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,0,0
style.css,165,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,0,12
style.css,166,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,12
style.css,167,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,18
style.css,168,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,9
style.css,169,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,0,0
style.css,170,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,0,0
style.css,171,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,0,7
style.css,172,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,20
style.css,173,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,9
style.css,174,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,10
style.css,175,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,29
style.css,176,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,19
style.css,177,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,0,0
style.css,178,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,0,0
style.css,179,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,0,35
style.css,180,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,7
style.css,181,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,2,17
style.css,182,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,1,0
style.css,183,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,0,0
style.css,184,css,837398b0,dsalcido-ucsd,2025-10-31,15:47:15,-07:00,2025-10-31T15:47:15-07:00,0,0
style.css,185,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,0,26
style.css,186,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,1,47
style.css,187,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,0,0
style.css,188,css,807c7a5d,dsalcido-ucsd,2025-10-10,19:29:15,-07:00,2025-10-10T19:29:15-07:00,0,0
style.css,189,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,0,35
style.css,190,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,1,32
style.css,191,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,0,0
style.css,192,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,1,10
style.css,193,css,7f79247c,dsalcido-ucsd,2025-10-16,16:53:16,-07:00,2025-10-16T16:53:16-07:00,2,18
style.css,194,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,2,13
style.css,195,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,1,0
style.css,196,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,0,0
style.css,197,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,1,3
style.css,198,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,2,35
style.css,199,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,1,0
style.css,200,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,0,0
style.css,201,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,1,5
style.css,202,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,2,13
style.css,203,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,2,78
style.css,204,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,1,0
style.css,205,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,0,0
style.css,206,css,d3733921,dsalcido-ucsd,2025-10-25,08:43:04,-07:00,2025-10-25T08:43:04-07:00,1,69
style.css,207,css,d3733921,dsalcido-ucsd,2025-10-25,08:43:04,-07:00,2025-10-25T08:43:04-07:00,2,63
style.css,208,css,d3733921,dsalcido-ucsd,2025-10-25,08:43:04,-07:00,2025-10-25T08:43:04-07:00,2,66
style.css,209,css,d3733921,dsalcido-ucsd,2025-10-25,08:43:04,-07:00,2025-10-25T08:43:04-07:00,2,28
style.css,210,css,d3733921,dsalcido-ucsd,2025-10-25,08:43:04,-07:00,2025-10-25T08:43:04-07:00,1,34
style.css,211,css,d3733921,dsalcido-ucsd,2025-10-25,08:43:04,-07:00,2025-10-25T08:43:04-07:00,0,0
style.css,212,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,1,94
style.css,213,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,0,0
style.css,214,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,1,55
style.css,215,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,0,0
style.css,216,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,1,17
style.css,217,css,06476560,dsalcido-ucsd,2025-10-16,16:05:45,-07:00,2025-10-16T16:05:45-07:00,2,18
